2th_deg;intensity
2.503567;20.95818
2.505546;21.05341
2.507524;21.25797
2.509502;21.42472
2.511481;21.54511
2.513459;21.71191
2.515437;22.07998
2.517416;22.43104
2.519394;22.75498
2.521372;23.3033
2.523351;24.0923
2.525329;25.2505
2.527307;27.03414
2.529286;30.59762
2.531264;40.14725
2.533242;67.60809
2.535221;129.8036
2.537199;232.3331
2.539177;350.556
2.541156;446.3973
2.543134;476.0533
2.545112;425.9297
2.547091;321.6808
2.549069;205.0898
2.551047;113.6072
2.553025;60.36531
2.555004;37.31609
2.556982;29.05182
2.55896;25.59838
2.560939;23.97987
2.562917;23.04101
2.564895;22.22641
2.566874;21.68172
2.568852;21.38416
2.57083;21.22107
2.572809;21.0295
2.574787;20.91121
2.576765;20.63955
2.578744;20.54141
2.580722;20.53686
2.5827;20.4718
2.584679;20.17873
2.586657;19.96721
2.588635;20.01344
2.590614;20.27451
2.592592;20.37353
2.59457;20.36624
2.596549;20.23887
2.598527;20.1949
2.600505;20.2274
2.602484;20.20205
2.604462;20.10852
2.60644;20.10934
2.608419;20.06713
2.610397;20.05161
2.612375;20.03464
2.614353;19.89494
2.616332;19.90626
2.61831;19.96872
2.620288;20.21085
2.622267;20.2214
2.624245;20.16523
2.626223;20.14769
2.628202;20.12798
2.63018;20.07246
2.632158;19.96351
2.634137;19.61322
2.636115;19.23458
2.638093;18.90681
2.640072;18.66729
2.64205;18.63815
2.644028;18.58546
2.646007;18.45958
2.647985;18.28236
2.649963;18.08555
2.651942;17.96789
2.65392;17.89733
2.655898;17.88747
2.657877;17.74917
2.659855;17.60936
2.661833;17.48135
2.663812;17.37012
2.66579;17.22073
2.667768;17.1258
